Taxonomy	Occupancy	Sample_number	RA	Group	Compartment	Rank	Tax_number
Rhizobiaceae	0.872093023255814	86	0.00575922006098834	soil	soil	Family	114
Rhizobiales_Incertae_Sedis	0.906976744186046	86	0.0028593778087927	soil	soil	Family	114
Rhodanobacteraceae	0.593023255813954	86	0.000880684491631848	soil	soil	Family	114
Rhodobacteraceae	0.0581395348837209	86	4.99173908627904e-05	soil	soil	Family	114
Rhodocyclaceae	0.186046511627907	86	0.000392797670005002	soil	soil	Family	114
Roseiflexaceae	0.848837209302326	86	0.00681419946325402	soil	soil	Family	114
Rubrobacteriaceae	0.0465116279069767	86	4.75588952655037e-05	soil	soil	Family	114
Saccharimonadaceae	0.22093023255814	86	0.00046909428535889	soil	soil	Family	114
Salisediminibacteriaceae	0.0697674418604651	86	0.000103530951674844	soil	soil	Family	114
Sandaracinaceae	0.232558139534884	86	0.000330935402729735	soil	soil	Family	114
Saprospiraceae	0.0232558139534884	86	1.65108129126275e-05	soil	soil	Family	114
SC-I-84	1	86	0.00965334343272742	soil	soil	Family	114
Solibacteraceae	0.697674418604651	86	0.00172716185551509	soil	soil	Family	114
Solimonadaceae	0.0813953488372093	86	0.000216317031447179	soil	soil	Family	114
Solirubrobacteraceae	0.511627906976744	86	0.000803864226260976	soil	soil	Family	114
Sphingomonadaceae	0.953488372093023	86	0.0231143215428542	soil	soil	Family	114
Sporichthyaceae	0.290697674418605	86	0.000368213077385552	soil	soil	Family	114
Steroidobacteraceae	0.941860465116279	86	0.00304963135951659	soil	soil	Family	114
Streptomycetaceae	0.941860465116279	86	0.00560873082930796	soil	soil	Family	114
Streptosporangiaceae	0.267441860465116	86	0.000385098016231092	soil	soil	Family	114
Sutterellaceae	0.186046511627907	86	0.000152077774476198	soil	soil	Family	114
Thermoanaerobaculaceae	0.0930232558139535	86	6.41865013491315e-05	soil	soil	Family	114
Thermomonosporaceae	0.36046511627907	86	0.000556983322987552	soil	soil	Family	114
TRA3-20	0.674418604651163	86	0.00178504471245645	soil	soil	Family	114
Unassigned	1	86	0.0911336747553935	soil	soil	Family	114
Unknown_Family	0.918604651162791	86	0.0031700403870398	soil	soil	Family	114
Xanthobacteraceae	0.988372093023256	86	0.0101421773358401	soil	soil	Family	114
Xanthomonadaceae	1	86	0.0223052074919322	soil	soil	Family	114
67-14	0.150501672240803	299	0.000135387723436448	arabidopsis_thaliana_root	root	Family	111
A21b	0.130434782608696	299	0.000125912502083228	arabidopsis_thaliana_root	root	Family	111
A4b	0.0301003344481605	299	2.28906841566744e-05	arabidopsis_thaliana_root	root	Family	111
Acidobacteriaceae_(Subgroup_1)	0.0267558528428094	299	2.02048809159491e-05	arabidopsis_thaliana_root	root	Family	111
AKYH767	0.00334448160535117	299	2.23114183145508e-06	arabidopsis_thaliana_root	root	Family	111
Alcaligenaceae	0.0434782608695652	299	0.000278637659639591	arabidopsis_thaliana_root	root	Family	111
Alicyclobacillaceae	0.0535117056856187	299	7.25048886657277e-05	arabidopsis_thaliana_root	root	Family	111
Bacillaceae	0.347826086956522	299	0.00125706397991147	arabidopsis_thaliana_root	root	Family	111
Bacteriovoracaceae	0.25752508361204	299	0.000380854600189312	arabidopsis_thaliana_root	root	Family	111
Bdellovibrionaceae	0.652173913043478	299	0.00243566899686227	arabidopsis_thaliana_root	root	Family	111
Beijerinckiaceae	0.642140468227425	299	0.00105970155620465	arabidopsis_thaliana_root	root	Family	111
BIrii41	0.765886287625418	299	0.00717034866531953	arabidopsis_thaliana_root	root	Family	111
Bryobacteraceae	0.0234113712374582	299	1.59406491540813e-05	arabidopsis_thaliana_root	root	Family	111
Burkholderiaceae	0.732441471571906	299	0.00672103266992113	arabidopsis_thaliana_root	root	Family	111
Catenulisporaceae	0.00334448160535117	299	2.24763548746718e-06	arabidopsis_thaliana_root	root	Family	111
Caulobacteraceae	0.996655518394649	299	0.0112884363969414	arabidopsis_thaliana_root	root	Family	111
Cellulomonadaceae	0.137123745819398	299	0.000160243230701871	arabidopsis_thaliana_root	root	Family	111
Cellvibrionaceae	0.505016722408027	299	0.00216187773500151	arabidopsis_thaliana_root	root	Family	111
Chitinophagaceae	0.986622073578595	299	0.00704525351064865	arabidopsis_thaliana_root	root	Family	111
Chloroflexaceae	0.0334448160535117	299	6.91311890638307e-05	arabidopsis_thaliana_root	root	Family	111
Clostridiaceae	0.0535117056856187	299	4.78677881778141e-05	arabidopsis_thaliana_root	root	Family	111
Comamonadaceae	1	299	0.134859912165726	arabidopsis_thaliana_root	root	Family	111
Crocinitomicaceae	0.167224080267559	299	0.000281165334490269	arabidopsis_thaliana_root	root	Family	111
Cytophagaceae	0.00334448160535117	299	2.25521348978501e-06	arabidopsis_thaliana_root	root	Family	111
Deinococcaceae	0.020066889632107	299	1.80120622261089e-05	arabidopsis_thaliana_root	root	Family	111
Devosiaceae	0.923076923076923	299	0.00604015449736117	arabidopsis_thaliana_root	root	Family	111
Dongiaceae	0.775919732441472	299	0.00192246172290542	arabidopsis_thaliana_root	root	Family	111
Entotheonellaceae	0.00668896321070234	299	4.4922844072499e-06	arabidopsis_thaliana_root	root	Family	111
env.OPS_17	0.762541806020067	299	0.00316318365981672	arabidopsis_thaliana_root	root	Family	111
Fibrobacteraceae	0.605351170568562	299	0.00299864919224953	arabidopsis_thaliana_root	root	Family	111
Flavobacteriaceae	0.836120401337793	299	0.0174351700105256	arabidopsis_thaliana_root	root	Family	111
Frankiaceae	0.0234113712374582	299	1.57175320600716e-05	arabidopsis_thaliana_root	root	Family	111
Gaiellaceae	0.468227424749164	299	0.000543396305888101	arabidopsis_thaliana_root	root	Family	111
Gemmatimonadaceae	0.491638795986622	299	0.000621166527867435	arabidopsis_thaliana_root	root	Family	111
Geobacteraceae	0.0100334448160535	299	6.75202447356229e-06	arabidopsis_thaliana_root	root	Family	111
Geodermatophilaceae	0.110367892976589	299	0.000115746886155489	arabidopsis_thaliana_root	root	Family	111
Glycomycetaceae	0.237458193979933	299	0.00049422699555637	arabidopsis_thaliana_root	root	Family	111
Gracilibacteraceae	0.0367892976588629	299	3.60109069966063e-05	arabidopsis_thaliana_root	root	Family	111
Haliangiaceae	0.996655518394649	299	0.0243053910599352	arabidopsis_thaliana_root	root	Family	111
Herpetosiphonaceae	0.197324414715719	299	0.00252839957104146	arabidopsis_thaliana_root	root	Family	111
Hymenobacteraceae	0.00668896321070234	299	6.7717294703585e-06	arabidopsis_thaliana_root	root	Family	111
Hyphomicrobiaceae	0.468227424749164	299	0.000620104921328681	arabidopsis_thaliana_root	root	Family	111
Hyphomonadaceae	0.0869565217391304	299	6.99119438705564e-05	arabidopsis_thaliana_root	root	Family	111
Iamiaceae	0.123745819397993	299	9.4779733983598e-05	arabidopsis_thaliana_root	root	Family	111
Ilumatobacteraceae	0.317725752508361	299	0.000373053091191886	arabidopsis_thaliana_root	root	Family	111
Intrasporangiaceae	0.862876254180602	299	0.00293315057581209	arabidopsis_thaliana_root	root	Family	111
KF-JG30-B3	0.00334448160535117	299	2.26744515617029e-06	arabidopsis_thaliana_root	root	Family	111
Kineosporiaceae	0.103678929765886	299	0.000162346381656572	arabidopsis_thaliana_root	root	Family	111
Leptospiraceae	0.210702341137124	299	0.000380924425984953	arabidopsis_thaliana_root	root	Family	111
Methyloligellaceae	0.254180602006689	299	0.000281908511353806	arabidopsis_thaliana_root	root	Family	111
Methylophilaceae	0.939799331103679	299	0.00515539523475086	arabidopsis_thaliana_root	root	Family	111
Microbacteriaceae	0.939799331103679	299	0.00404860064981056	arabidopsis_thaliana_root	root	Family	111
Micrococcaceae	0.779264214046823	299	0.0024867726555811	arabidopsis_thaliana_root	root	Family	111
Micromonosporaceae	0.849498327759197	299	0.00403223015961202	arabidopsis_thaliana_root	root	Family	111
Micropepsaceae	0.157190635451505	299	0.000145158661477875	arabidopsis_thaliana_root	root	Family	111
Microscillaceae	0.889632107023411	299	0.00570840888746134	arabidopsis_thaliana_root	root	Family	111
Microtrichaceae	0.133779264214047	299	0.00013614673196656	arabidopsis_thaliana_root	root	Family	111
Mitochondria	0.481605351170569	299	0.000650017792272873	arabidopsis_thaliana_root	root	Family	111
Moraxellaceae	0.0936454849498328	299	0.000174182056827525	arabidopsis_thaliana_root	root	Family	111
Mycobacteriaceae	0.448160535117057	299	0.000509034106786688	arabidopsis_thaliana_root	root	Family	111
Myxococcaceae	0.260869565217391	299	0.000286142193759046	arabidopsis_thaliana_root	root	Family	111
Nakamurellaceae	0.0133779264214047	299	1.12870237795102e-05	arabidopsis_thaliana_root	root	Family	111
Nannocystaceae	0.0133779264214047	299	1.12382466635711e-05	arabidopsis_thaliana_root	root	Family	111
Nitrosomonadaceae	0.585284280936455	299	0.0014639912545413	arabidopsis_thaliana_root	root	Family	111
Nitrososphaeraceae	0.00334448160535117	299	2.28448197086829e-06	arabidopsis_thaliana_root	root	Family	111
Nitrospiraceae	0.137123745819398	299	0.000128996649231914	arabidopsis_thaliana_root	root	Family	111
Nocardiaceae	0.0334448160535117	299	0.000115912027458581	arabidopsis_thaliana_root	root	Family	111
Nocardioidaceae	0.993311036789298	299	0.0164945927370512	arabidopsis_thaliana_root	root	Family	111
NS9_marine_group	0.0869565217391304	299	8.59219906096978e-05	arabidopsis_thaliana_root	root	Family	111
Oligoflexales_fa	0.334448160535117	299	0.000511523252974818	arabidopsis_thaliana_root	root	Family	111
Oxalobacteraceae	1	299	0.252127957677303	arabidopsis_thaliana_root	root	Family	111
Paenibacillaceae	0.642140468227425	299	0.00109653158551932	arabidopsis_thaliana_root	root	Family	111
Pedosphaeraceae	0.307692307692308	299	0.000271288300073817	arabidopsis_thaliana_root	root	Family	111
Peptostreptococcaceae	0.020066889632107	299	1.36110151944992e-05	arabidopsis_thaliana_root	root	Family	111
Phaselicystidaceae	0.107023411371237	299	0.000124386854991233	arabidopsis_thaliana_root	root	Family	111
Phycisphaeraceae	0.140468227424749	299	0.000147647861094401	arabidopsis_thaliana_root	root	Family	111
Planococcaceae	0.0234113712374582	299	2.59223158155163e-05	arabidopsis_thaliana_root	root	Family	111
Polyangiaceae	0.882943143812709	299	0.00295321164519287	arabidopsis_thaliana_root	root	Family	111
Promicromonosporaceae	0.297658862876254	299	0.000655731613551173	arabidopsis_thaliana_root	root	Family	111
Propionibacteriaceae	0.107023411371237	299	0.000117930086353657	arabidopsis_thaliana_root	root	Family	111
Pseudohongiellaceae	0.0535117056856187	299	6.33189114433616e-05	arabidopsis_thaliana_root	root	Family	111
Pseudomonadaceae	0.859531772575251	299	0.00809334146023481	arabidopsis_thaliana_root	root	Family	111
Pseudonocardiaceae	0.939799331103679	299	0.0102400826742636	arabidopsis_thaliana_root	root	Family	111
Reyranellaceae	0.0602006688963211	299	5.0059655245127e-05	arabidopsis_thaliana_root	root	Family	111
Rhizobiaceae	1	299	0.0584397808607339	arabidopsis_thaliana_root	root	Family	111
Rhizobiales_Incertae_Sedis	0.411371237458194	299	0.000484129818226497	arabidopsis_thaliana_root	root	Family	111
Rhodanobacteraceae	0.882943143812709	299	0.00333395791271933	arabidopsis_thaliana_root	root	Family	111
Rhodobacteraceae	0.0769230769230769	299	9.03544758727023e-05	arabidopsis_thaliana_root	root	Family	111
Rhodocyclaceae	0.0367892976588629	299	5.87324005404018e-05	arabidopsis_thaliana_root	root	Family	111
Roseiflexaceae	0.986622073578595	299	0.01658067316916	arabidopsis_thaliana_root	root	Family	111
Saccharimonadaceae	0.301003344481605	299	0.000830498385295261	arabidopsis_thaliana_root	root	Family	111
Salisediminibacteriaceae	0.0100334448160535	299	6.78735951574243e-06	arabidopsis_thaliana_root	root	Family	111
Sandaracinaceae	0.77257525083612	299	0.0024828583297753	arabidopsis_thaliana_root	root	Family	111
SC-I-84	0.424749163879599	299	0.000551853433876967	arabidopsis_thaliana_root	root	Family	111
Solibacteraceae	0.0301003344481605	299	2.47476374942921e-05	arabidopsis_thaliana_root	root	Family	111
Solimonadaceae	0.130434782608696	299	0.000150609228315579	arabidopsis_thaliana_root	root	Family	111
Solirubrobacteraceae	0.147157190635452	299	0.000121300090593971	arabidopsis_thaliana_root	root	Family	111
Sphingomonadaceae	0.969899665551839	299	0.00593446737463992	arabidopsis_thaliana_root	root	Family	111
Sporichthyaceae	0.0802675585284281	299	6.77737116445824e-05	arabidopsis_thaliana_root	root	Family	111
Staphylococcaceae	0.020066889632107	299	2.6936943963025e-05	arabidopsis_thaliana_root	root	Family	111
Steroidobacteraceae	0.976588628762542	299	0.00459697977364146	arabidopsis_thaliana_root	root	Family	111
Streptomycetaceae	0.996655518394649	299	0.104254679527787	arabidopsis_thaliana_root	root	Family	111
Streptosporangiaceae	0.25752508361204	299	0.000495558996693856	arabidopsis_thaliana_root	root	Family	111
Sutterellaceae	0.00334448160535117	299	2.59664720912358e-06	arabidopsis_thaliana_root	root	Family	111
Thermoanaerobaculaceae	0.0635451505016722	299	5.87494344956766e-05	arabidopsis_thaliana_root	root	Family	111
Thermomonosporaceae	0.953177257525084	299	0.00854864128053975	arabidopsis_thaliana_root	root	Family	111
TRA3-20	0.0434782608695652	299	3.21658670643693e-05	arabidopsis_thaliana_root	root	Family	111
Unassigned	0.986622073578595	299	0.00697784481209197	arabidopsis_thaliana_root	root	Family	111
Unknown_Family	0.923076923076923	299	0.00583234603250578	arabidopsis_thaliana_root	root	Family	111
Xanthobacteraceae	0.989966555183946	299	0.00917598855790855	arabidopsis_thaliana_root	root	Family	111
Xanthomonadaceae	1	299	0.0317361927868686	arabidopsis_thaliana_root	root	Family	111
67-14	0.631578947368421	133	0.000973045687136645	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
A21b	0.924812030075188	133	0.00422826173410541	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
A4b	0.0300751879699248	133	2.06150335324881e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Acidobacteriaceae_(Subgroup_1)	0.210526315789474	133	0.000235905857875847	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Acidobacteriae_fa	0.0601503759398496	133	5.22536763854334e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
AKYH767	0.18796992481203	133	0.000220238640280511	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Alcaligenaceae	0.0451127819548872	133	3.59849035960659e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Alicyclobacillaceae	0.360902255639098	133	0.000731560717677358	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
B1-7BS	0.037593984962406	133	2.58962404443322e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Bacillaceae	0.984962406015038	133	0.0154067312965337	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Bacteriovoracaceae	0.473684210526316	133	0.002182400948068	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Bdellovibrionaceae	0.488721804511278	133	0.00133059808331206	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Beijerinckiaceae	0.721804511278195	133	0.00129802632039497	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
BIrii41	0.669172932330827	133	0.0017796045118056	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Bryobacteraceae	0.406015037593985	133	0.000618247345203375	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Burkholderiaceae	0.699248120300752	133	0.00887124061604774	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Catenulisporaceae	0.0300751879699248	133	2.07312880190286e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Caulobacteraceae	0.962406015037594	133	0.0054308769754253	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Cellulomonadaceae	0.120300751879699	133	0.000154331649509499	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Cellvibrionaceae	0.390977443609023	133	0.00396196569150443	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Chitinophagaceae	0.909774436090226	133	0.00466008548650772	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Clostridiaceae	0.533834586466165	133	0.000931129719261002	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Comamonadaceae	1	133	0.0767509612205956	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Crocinitomicaceae	0.225563909774436	133	0.000505432140881882	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Deinococcaceae	0.0075187969924812	133	5.20331971798007e-06	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Devosiaceae	0.954887218045113	133	0.0041966456406257	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Dongiaceae	0.992481203007519	133	0.00466330936081302	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Entotheonellaceae	0.165413533834586	133	0.000138689809851403	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
env.OPS_17	0.781954887218045	133	0.00214890667108817	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Fibrobacteraceae	0.586466165413534	133	0.00163528876275874	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Flavobacteriaceae	0.909774436090226	133	0.0145746684655718	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Frankiaceae	0.0150375939849624	133	1.01059510145606e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Gaiellaceae	0.969924812030075	133	0.00646076280358258	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Geminicoccaceae	0.037593984962406	133	2.57245710612026e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Gemmatimonadaceae	1	133	0.0159086554885554	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Geobacteraceae	0.315789473684211	133	0.000390207342688532	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Geodermatophilaceae	0.180451127819549	133	0.000200034460050578	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Glycomycetaceae	0.172932330827068	133	0.000158565377281807	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Gracilibacteraceae	0.195488721804511	133	0.000190028507011413	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Haliangiaceae	0.864661654135338	133	0.00339477559366264	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Herpetosiphonaceae	0.0977443609022556	133	0.000458702138183622	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Hymenobacteraceae	0.263157894736842	133	0.000392118863429486	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Hyphomicrobiaceae	0.827067669172932	133	0.00144196263481235	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Hyphomonadaceae	0.308270676691729	133	0.000293890748708511	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Iamiaceae	0.195488721804511	133	0.000169547654613441	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Ilumatobacteraceae	0.676691729323308	133	0.00102918345251474	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Intrasporangiaceae	0.909774436090226	133	0.00256735357295617	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
KF-JG30-B3	0.112781954887218	133	0.000102730992971595	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Kineosporiaceae	0.0676691729323308	133	0.000144199807806985	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Latescibacteraceae	0.0451127819548872	133	5.5582875478436e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Leptospiraceae	0.353383458646617	133	0.000482298039935561	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Methyloligellaceae	0.932330827067669	133	0.00552696641769265	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Methylophilaceae	0.977443609022556	133	0.0205233170662861	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Microbacteriaceae	0.954887218045113	133	0.00398466965068672	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Micrococcaceae	1	133	0.0216652803823888	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Micromonosporaceae	0.729323308270677	133	0.00122036828407504	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Micropepsaceae	0.390977443609023	133	0.000535954933042196	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Microscillaceae	0.932330827067669	133	0.00777232252795204	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Microtrichaceae	0.037593984962406	133	2.56114837985998e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Moraxellaceae	0.112781954887218	133	0.000227090919413121	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
Mycobacteriaceae	0.917293233082707	133	0.00311774118267986	arabidopsis_thaliana_rhizosphere	rhizosphere	Family	113
