Sample_ID	RA_rep	Original.SampleID	Study	Host.Species	Host.Genotype	Compartment	Soil	Soil.Batch	Run	Conditions	Date	Group
bgh_2017_00026	0.714969241285031	bgh_001_NC_26	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00027	0.605442176870748	bgh_001_NC_27	bgh_2017	arabidopsis_thaliana	host_soil	soil	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_soil
bgh_2017_00028	0.568027210884354	bgh_001_NC_28	bgh_2017	arabidopsis_thaliana	host_soil	soil	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_soil
duran_2020_00062	0.732384823848238	At_root_Day36_Rep1_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00068	0.7289972899729	At_root_Day36_Rep3_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00071	0.836010709504685	At_root_Day36_Rep4_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00072	0.914036265950302	At_root_Day36_Rep4_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00073	0.788978494623656	At_root_Day36_Rep4_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00074	0.718577075098814	At_root_Day36_Rep5_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00075	0.725423728813559	At_root_Day36_Rep5_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00076	0.873069173942243	At_root_Day36_Rep5_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00077	0.785422343324251	At_root_Day36_Rep6_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00078	0.827143821742066	At_root_Day36_Rep6_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00079	0.609047940580689	At_root_Day36_Rep6_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00080	0.751869476546567	At_root_Day36_Rep7_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00081	0.798657718120805	At_root_Day36_Rep7_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00082	0.787348586810229	At_root_Day36_Rep7_Bio3	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00083	0.77248322147651	At_root_Day36_Rep8_Bio1	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00084	0.813547954393025	At_root_Day36_Rep8_Bio2	duran_2020	arabidopsis_thaliana	col_0	root	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_root
duran_2020_00086	0.757759784075574	At_RS_Day36_Rep1_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00089	0.555329260013578	At_RS_Day36_Rep2_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00090	0.58590006844627	At_RS_Day36_Rep2_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00091	0.616485013623978	At_RS_Day36_Rep3_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00092	0.524166099387338	At_RS_Day36_Rep3_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00093	0.56456043956044	At_RS_Day36_Rep3_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00094	0.598349381017882	At_RS_Day36_Rep4_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00095	0.60148849797023	At_RS_Day36_Rep4_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00096	0.711446196024674	At_RS_Day36_Rep5_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00097	0.575221238938053	At_RS_Day36_Rep5_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00098	0.557162534435262	At_RS_Day36_Rep5_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00099	0.580779944289694	At_RS_Day36_Rep6_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00100	0.517099863201094	At_RS_Day36_Rep6_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00101	0.378514780100937	At_RS_Day36_Rep6_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00102	0.515731874145007	At_RS_Day36_Rep7_Bio1	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00103	0.470790378006873	At_RS_Day36_Rep7_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00104	0.501713502398903	At_RS_Day36_Rep7_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00105	0.559228650137741	At_RS_Day36_Rep8_Bio2	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00106	0.489376285126799	At_RS_Day36_Rep8_Bio3	duran_2020	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_rhizosphere
duran_2020_00107	0.534013605442177	C_Day14_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00108	0.445733788395904	C_Day14_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00109	0.545883940620783	C_Day14_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00110	0.620502376103191	C_Day14_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00111	0.49375	C_Day14_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00112	0.576582709326072	C_Day14_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00113	0.456773315180395	C_Day21_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00114	0.462758620689655	C_Day21_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00115	0.502350570852921	C_Day21_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00116	0.494205862304022	C_Day21_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00117	0.46571622539036	C_Day21_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00118	0.440247252747253	C_Day21_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00119	0.346981263011797	C_Day28_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00120	0.329001367989056	C_Day28_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00121	0.413839891451832	C_Day28_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00122	0.369550173010381	C_Day28_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00123	0.503075871496924	C_Day28_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00124	0.371934604904632	C_Day28_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00125	0.30949105914718	C_Day36_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00126	0.392439862542955	C_Day36_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00127	0.332157968970381	C_Day36_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00128	0.322423398328691	C_Day36_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00129	0.359183673469388	C_Day36_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00130	0.47599451303155	C_Day36_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00131	0.277022190408017	C_Day36_Rep3_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00132	0.36726272352132	C_Day36_Rep3_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00133	0.560689655172414	C_Day36_Rep3_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00134	0.248421052631579	C_Day36_Rep4_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00135	0.349172066234701	C_Day36_Rep4_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00136	0.307692307692308	C_Day36_Rep4_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00137	0.538686131386861	C_Day36_Rep5_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00138	0.369357045143639	C_Day36_Rep5_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00139	0.342857142857143	C_Day36_Rep5_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00140	0.327083333333333	C_Day36_Rep6_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00141	0.298719772403983	C_Day36_Rep6_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00142	0.304886943836616	C_Day36_Rep6_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00143	0.31536780772032	C_Day36_Rep7_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00144	0.297872340425532	C_Day36_Rep7_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00145	0.320342946219797	C_Day36_Rep7_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00146	0.287719298245614	C_Day36_Rep8_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00147	0.35933147632312	C_Day36_Rep8_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00148	0.360817477096547	C_Day36_Rep8_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00149	0.553091397849462	C_Day7_Rep1_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00150	0.541865214431586	C_Day7_Rep1_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00151	0.565363881401617	C_Day7_Rep1_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00152	0.553918285331547	C_Day7_Rep2_Bio1	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00153	0.506765899864682	C_Day7_Rep2_Bio2	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00154	0.570465273095078	C_Day7_Rep2_Bio3	duran_2020	chlamydomonas_reinhardtii	chlamy	phycosphere	CAS	CAS14	chlamy_011	GH	08_2019	chlamydomonas_reinhardtii_CAS_phycosphere
duran_2020_00155	0.588676671214188	Unplanted_Day0_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00156	0.619699042407661	Unplanted_Day0_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00157	0.576763485477178	Unplanted_Day0_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00158	0.534993270524899	Unplanted_Day14_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00159	0.492182188987084	Unplanted_Day14_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00160	0.5	Unplanted_Day14_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00161	0.529249827942189	Unplanted_Day21_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00162	0.556457065584855	Unplanted_Day21_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00163	0.508544087491456	Unplanted_Day21_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00164	0.488965517241379	Unplanted_Day28_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00165	0.528059499661934	Unplanted_Day28_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00166	0.49696151249156	Unplanted_Day28_Rep1_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00167	0.685598377281947	Unplanted_Day36_Rep1_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00168	0.442477876106195	Unplanted_Day36_Rep1_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00169	0.49338900487126	Unplanted_Day36_Rep2_Bio1	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00170	0.48191933240612	Unplanted_Day36_Rep2_Bio2	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
duran_2020_00171	0.446735395189003	Unplanted_Day36_Rep2_Bio3	duran_2020	arabidopsis_thaliana	soil	soil	CAS	CAS14	chlamy_011	GH	08_2019	arabidopsis_thaliana_CAS_soil
