Group	Occupancy	Sample_number	RA	Group.1	Compartment	Rank	Tax_number
131	0.116279069767442	86	0.000183867284176431	soil	soil	NetCls	130
132	0.13953488372093	86	0.000236645620900549	soil	soil	NetCls	130
133	0.5	86	0.000801104215362556	soil	soil	NetCls	130
134	0.0116279069767442	86	8.02478052225272e-06	soil	soil	NetCls	130
14	0.534883720930233	86	0.00360639719868949	soil	soil	NetCls	130
15	0.732558139534884	86	0.0229154635268259	soil	soil	NetCls	130
16	0.965116279069767	86	0.00553458546299093	soil	soil	NetCls	130
17	0.406976744186047	86	0.000992735049911397	soil	soil	NetCls	130
18	0.406976744186047	86	0.000804146188758704	soil	soil	NetCls	130
19	0.930232558139535	86	0.0250830114386039	soil	soil	NetCls	130
2	0.802325581395349	86	0.00304947550581295	soil	soil	NetCls	130
20	1	86	0.0707455803918087	soil	soil	NetCls	130
21	0.837209302325581	86	0.00848379240811966	soil	soil	NetCls	130
22	0.697674418604651	86	0.00179962666322304	soil	soil	NetCls	130
23	0.941860465116279	86	0.00749508161717714	soil	soil	NetCls	130
24	0.976744186046512	86	0.0317284156971926	soil	soil	NetCls	130
25	1	86	0.0274569542085212	soil	soil	NetCls	130
26	1	86	0.0206051642528388	soil	soil	NetCls	130
27	0.0697674418604651	86	9.58596829021536e-05	soil	soil	NetCls	130
28	0.255813953488372	86	0.00180997836846016	soil	soil	NetCls	130
29	0.895348837209302	86	0.0149947925381632	soil	soil	NetCls	130
3	0.767441860465116	86	0.01147890330254	soil	soil	NetCls	130
30	0.941860465116279	86	0.0086675892950788	soil	soil	NetCls	130
31	0.5	86	0.000609365655789754	soil	soil	NetCls	130
32	0.116279069767442	86	0.000374356682241885	soil	soil	NetCls	130
33	0.162790697674419	86	0.000238005309671329	soil	soil	NetCls	130
34	0.0116279069767442	86	8.40774184869428e-06	soil	soil	NetCls	130
35	0.523255813953488	86	0.00150442835921741	soil	soil	NetCls	130
36	0.988372093023256	86	0.0198057587467206	soil	soil	NetCls	130
37	0.0348837209302326	86	3.9827393157879e-05	soil	soil	NetCls	130
38	0.186046511627907	86	0.000209926385766577	soil	soil	NetCls	130
39	0.883720930232558	86	0.0014900312211853	soil	soil	NetCls	130
4	0.63953488372093	86	0.00385841736835026	soil	soil	NetCls	130
40	0.151162790697674	86	0.000122476905824	soil	soil	NetCls	130
41	0.593023255813954	86	0.000994611073617586	soil	soil	NetCls	130
42	0.13953488372093	86	0.000182697274562749	soil	soil	NetCls	130
43	0.13953488372093	86	0.000343768418744533	soil	soil	NetCls	130
44	0.232558139534884	86	0.000371292617375459	soil	soil	NetCls	130
45	0.186046511627907	86	0.000299497252063677	soil	soil	NetCls	130
46	0.651162790697674	86	0.00219965418634313	soil	soil	NetCls	130
47	0.802325581395349	86	0.00306326261937772	soil	soil	NetCls	130
48	0.627906976744186	86	0.00146398544071199	soil	soil	NetCls	130
49	0.383720930232558	86	0.000648386145850783	soil	soil	NetCls	130
5	0.5	86	0.000690418248689727	soil	soil	NetCls	130
50	0.22093023255814	86	0.000846259300184981	soil	soil	NetCls	130
51	0.941860465116279	86	0.00927144854138411	soil	soil	NetCls	130
52	0.0697674418604651	86	4.85432380610443e-05	soil	soil	NetCls	130
53	0.453488372093023	86	0.00076302937575765	soil	soil	NetCls	130
54	0.0813953488372093	86	6.41749929083066e-05	soil	soil	NetCls	130
55	0.0116279069767442	86	8.3895432732642e-06	soil	soil	NetCls	130
56	0.988372093023256	86	0.0804109284153825	soil	soil	NetCls	130
57	0.662790697674419	86	0.00279802228496825	soil	soil	NetCls	130
58	0.848837209302326	86	0.0122267614720719	soil	soil	NetCls	130
59	0.569767441860465	86	0.00160073847225812	soil	soil	NetCls	130
6	0.825581395348837	86	0.00230731995350783	soil	soil	NetCls	130
60	0.895348837209302	86	0.00885354640070646	soil	soil	NetCls	130
61	0.697674418604651	86	0.00128119642234734	soil	soil	NetCls	130
62	0.267441860465116	86	0.000492243991743878	soil	soil	NetCls	130
63	0.290697674418605	86	0.000872405083567897	soil	soil	NetCls	130
64	0.697674418604651	86	0.0100075902516792	soil	soil	NetCls	130
66	0.151162790697674	86	0.000193465878001945	soil	soil	NetCls	130
67	0.872093023255814	86	0.0109762241396865	soil	soil	NetCls	130
68	0.0232558139534884	86	4.06525085305208e-05	soil	soil	NetCls	130
69	0.0348837209302326	86	2.43448165367944e-05	soil	soil	NetCls	130
7	0.418604651162791	86	0.00135121330532255	soil	soil	NetCls	130
70	0.104651162790698	86	0.000146068712489021	soil	soil	NetCls	130
71	0.0465116279069767	86	4.10753013398173e-05	soil	soil	NetCls	130
72	0.162790697674419	86	0.000333279354043534	soil	soil	NetCls	130
73	0.825581395348837	86	0.00388534060885829	soil	soil	NetCls	130
74	0.0232558139534884	86	2.42271268075664e-05	soil	soil	NetCls	130
75	0.558139534883721	86	0.00104643390680872	soil	soil	NetCls	130
76	0.0697674418604651	86	0.000159744408092996	soil	soil	NetCls	130
77	0.0930232558139535	86	9.8429807938104e-05	soil	soil	NetCls	130
78	0.0465116279069767	86	3.19790396707286e-05	soil	soil	NetCls	130
79	0.127906976744186	86	0.000208779614278044	soil	soil	NetCls	130
8	0.0930232558139535	86	8.09855316726744e-05	soil	soil	NetCls	130
81	0.0232558139534884	86	1.60248101819005e-05	soil	soil	NetCls	130
82	0.255813953488372	86	0.000498440670631177	soil	soil	NetCls	130
83	0.244186046511628	86	0.000239695471808828	soil	soil	NetCls	130
84	0.0581395348837209	86	0.00029615939337086	soil	soil	NetCls	130
85	0.883720930232558	86	0.00576897619989389	soil	soil	NetCls	130
86	0.0232558139534884	86	1.5660736436165e-05	soil	soil	NetCls	130
87	0.127906976744186	86	0.000137112275655657	soil	soil	NetCls	130
88	0.209302325581395	86	0.0002603730425816	soil	soil	NetCls	130
89	0.0348837209302326	86	4.73784300448446e-05	soil	soil	NetCls	130
9	0.651162790697674	86	0.00337014871358285	soil	soil	NetCls	130
90	0.151162790697674	86	0.000218068049252061	soil	soil	NetCls	130
91	0.244186046511628	86	0.00022714150827352	soil	soil	NetCls	130
93	0.0232558139534884	86	1.65229892223287e-05	soil	soil	NetCls	130
94	0.0348837209302326	86	2.45419960453948e-05	soil	soil	NetCls	130
95	0.395348837209302	86	0.00078996000434295	soil	soil	NetCls	130
96	0.325581395348837	86	0.00038722627562736	soil	soil	NetCls	130
97	0.0348837209302326	86	2.41692173725993e-05	soil	soil	NetCls	130
98	0.0465116279069767	86	6.53529848246257e-05	soil	soil	NetCls	130
99	0.0930232558139535	86	0.000114632228115694	soil	soil	NetCls	130
1	1	299	0.105726001475996	arabidopsis_thaliana_root	root	NetCls	132
10	0.993311036789298	299	0.008178263152718	arabidopsis_thaliana_root	root	NetCls	132
100	0.0167224080267559	299	1.15383205000866e-05	arabidopsis_thaliana_root	root	NetCls	132
101	0.989966555183946	299	0.00951505912224278	arabidopsis_thaliana_root	root	NetCls	132
102	0.1438127090301	299	0.000234836976857053	arabidopsis_thaliana_root	root	NetCls	132
104	0.096989966555184	299	8.34892769569429e-05	arabidopsis_thaliana_root	root	NetCls	132
105	0.100334448160535	299	0.000125952245375539	arabidopsis_thaliana_root	root	NetCls	132
106	0.00334448160535117	299	2.22965440356745e-06	arabidopsis_thaliana_root	root	NetCls	132
107	0.0568561872909699	299	4.04895052791184e-05	arabidopsis_thaliana_root	root	NetCls	132
108	0.0434782608695652	299	5.65582473326431e-05	arabidopsis_thaliana_root	root	NetCls	132
109	0.040133779264214	299	6.26095352691393e-05	arabidopsis_thaliana_root	root	NetCls	132
11	1	299	0.0354848132262009	arabidopsis_thaliana_root	root	NetCls	132
110	0.0936454849498328	299	8.4281658926725e-05	arabidopsis_thaliana_root	root	NetCls	132
111	0.00334448160535117	299	2.27825722435366e-06	arabidopsis_thaliana_root	root	NetCls	132
112	0.0167224080267559	299	1.80207633694955e-05	arabidopsis_thaliana_root	root	NetCls	132
113	0.163879598662207	299	0.000224024806291789	arabidopsis_thaliana_root	root	NetCls	132
114	0.0668896321070234	299	0.000136119257960252	arabidopsis_thaliana_root	root	NetCls	132
115	0.157190635451505	299	0.000131366912851722	arabidopsis_thaliana_root	root	NetCls	132
116	0.127090301003344	299	0.000133028700137549	arabidopsis_thaliana_root	root	NetCls	132
117	0.250836120401338	299	0.000326233228338664	arabidopsis_thaliana_root	root	NetCls	132
118	0.0602006688963211	299	5.99163630799624e-05	arabidopsis_thaliana_root	root	NetCls	132
119	0.11371237458194	299	8.8214231518006e-05	arabidopsis_thaliana_root	root	NetCls	132
12	1	299	0.0193533810867612	arabidopsis_thaliana_root	root	NetCls	132
120	0.0468227424749164	299	3.85808173011544e-05	arabidopsis_thaliana_root	root	NetCls	132
121	0.48494983277592	299	0.00102679652983799	arabidopsis_thaliana_root	root	NetCls	132
122	0.00668896321070234	299	4.49528924727945e-06	arabidopsis_thaliana_root	root	NetCls	132
123	0.0936454849498328	299	0.000127742018808691	arabidopsis_thaliana_root	root	NetCls	132
124	0.0936454849498328	299	8.3227927323103e-05	arabidopsis_thaliana_root	root	NetCls	132
125	0.0501672240802676	299	7.68007767341782e-05	arabidopsis_thaliana_root	root	NetCls	132
126	0.00334448160535117	299	2.23860883892314e-06	arabidopsis_thaliana_root	root	NetCls	132
127	0.0702341137123746	299	0.000129945477641247	arabidopsis_thaliana_root	root	NetCls	132
128	0.0602006688963211	299	4.08490586375363e-05	arabidopsis_thaliana_root	root	NetCls	132
129	0.0334448160535117	299	2.56108514197822e-05	arabidopsis_thaliana_root	root	NetCls	132
13	0.71571906354515	299	0.00826668795607455	arabidopsis_thaliana_root	root	NetCls	132
130	0.0468227424749164	299	3.83423607927658e-05	arabidopsis_thaliana_root	root	NetCls	132
131	0.0769230769230769	299	7.87064665825491e-05	arabidopsis_thaliana_root	root	NetCls	132
132	0.0301003344481605	299	2.70377851997017e-05	arabidopsis_thaliana_root	root	NetCls	132
133	0.287625418060201	299	0.000549133472731726	arabidopsis_thaliana_root	root	NetCls	132
134	0.0133779264214047	299	9.13499246232988e-06	arabidopsis_thaliana_root	root	NetCls	132
14	0.986622073578595	299	0.0637987140944831	arabidopsis_thaliana_root	root	NetCls	132
15	0.869565217391304	299	0.0057373281591122	arabidopsis_thaliana_root	root	NetCls	132
16	0.986622073578595	299	0.0145761442712585	arabidopsis_thaliana_root	root	NetCls	132
17	0.946488294314381	299	0.0127899047378399	arabidopsis_thaliana_root	root	NetCls	132
18	0.896321070234114	299	0.00787829925898874	arabidopsis_thaliana_root	root	NetCls	132
19	0.565217391304348	299	0.00081481796107107	arabidopsis_thaliana_root	root	NetCls	132
2	1	299	0.0380536747021339	arabidopsis_thaliana_root	root	NetCls	132
20	0.993311036789298	299	0.00436997128553444	arabidopsis_thaliana_root	root	NetCls	132
21	0.996655518394649	299	0.0217906526478716	arabidopsis_thaliana_root	root	NetCls	132
22	0.996655518394649	299	0.0791284365607149	arabidopsis_thaliana_root	root	NetCls	132
23	0.973244147157191	299	0.0168635905125502	arabidopsis_thaliana_root	root	NetCls	132
24	0.976588628762542	299	0.00556354842736339	arabidopsis_thaliana_root	root	NetCls	132
25	0.903010033444816	299	0.00283870972076151	arabidopsis_thaliana_root	root	NetCls	132
26	0.719063545150502	299	0.00150662597530519	arabidopsis_thaliana_root	root	NetCls	132
27	0.110367892976589	299	9.24096564290959e-05	arabidopsis_thaliana_root	root	NetCls	132
28	0.602006688963211	299	0.011442722362656	arabidopsis_thaliana_root	root	NetCls	132
29	0.973244147157191	299	0.014295242547144	arabidopsis_thaliana_root	root	NetCls	132
3	0.826086956521739	299	0.00638384803557788	arabidopsis_thaliana_root	root	NetCls	132
30	0.40133779264214	299	0.000528665178022372	arabidopsis_thaliana_root	root	NetCls	132
31	0.859531772575251	299	0.00363105973205065	arabidopsis_thaliana_root	root	NetCls	132
32	0.501672240802676	299	0.00786824189190985	arabidopsis_thaliana_root	root	NetCls	132
33	0.344481605351171	299	0.00152369937344697	arabidopsis_thaliana_root	root	NetCls	132
34	0.217391304347826	299	0.00255546909472621	arabidopsis_thaliana_root	root	NetCls	132
35	0.966555183946488	299	0.0176720387617716	arabidopsis_thaliana_root	root	NetCls	132
36	0.732441471571906	299	0.00122785594947038	arabidopsis_thaliana_root	root	NetCls	132
37	0.11371237458194	299	0.000372360848891446	arabidopsis_thaliana_root	root	NetCls	132
38	0.0535117056856187	299	4.53101679946286e-05	arabidopsis_thaliana_root	root	NetCls	132
39	0.993311036789298	299	0.00663077081024705	arabidopsis_thaliana_root	root	NetCls	132
4	0.719063545150502	299	0.0436380692864298	arabidopsis_thaliana_root	root	NetCls	132
40	0.130434782608696	299	0.000322653709504581	arabidopsis_thaliana_root	root	NetCls	132
41	0.956521739130435	299	0.0236808549771899	arabidopsis_thaliana_root	root	NetCls	132
42	0.103678929765886	299	0.000122118132602283	arabidopsis_thaliana_root	root	NetCls	132
43	0.324414715719064	299	0.00124443217475276	arabidopsis_thaliana_root	root	NetCls	132
44	0.0635451505016722	299	4.58284554833475e-05	arabidopsis_thaliana_root	root	NetCls	132
45	0.408026755852843	299	0.00901039641625232	arabidopsis_thaliana_root	root	NetCls	132
46	0.979933110367893	299	0.00972575184071272	arabidopsis_thaliana_root	root	NetCls	132
47	0.906354515050167	299	0.00566816839077991	arabidopsis_thaliana_root	root	NetCls	132
48	0.719063545150502	299	0.00492903863698776	arabidopsis_thaliana_root	root	NetCls	132
49	0.11371237458194	299	0.000125947229156108	arabidopsis_thaliana_root	root	NetCls	132
5	0.979933110367893	299	0.00996676524503794	arabidopsis_thaliana_root	root	NetCls	132
50	0.354515050167224	299	0.00165241906200693	arabidopsis_thaliana_root	root	NetCls	132
51	0.391304347826087	299	0.000570261840896834	arabidopsis_thaliana_root	root	NetCls	132
52	0.0802675585284281	299	7.99330174818467e-05	arabidopsis_thaliana_root	root	NetCls	132
53	0.341137123745819	299	0.000687540893817814	arabidopsis_thaliana_root	root	NetCls	132
54	0.163879598662207	299	0.000219357710576697	arabidopsis_thaliana_root	root	NetCls	132
55	0.103678929765886	299	0.00124559629269951	arabidopsis_thaliana_root	root	NetCls	132
56	0.812709030100334	299	0.00173713441083324	arabidopsis_thaliana_root	root	NetCls	132
57	0.725752508361204	299	0.00315494715182864	arabidopsis_thaliana_root	root	NetCls	132
58	0.963210702341137	299	0.0060847514723488	arabidopsis_thaliana_root	root	NetCls	132
59	0.648829431438127	299	0.00233638355166156	arabidopsis_thaliana_root	root	NetCls	132
6	1	299	0.10675864160671	arabidopsis_thaliana_root	root	NetCls	132
60	0.615384615384615	299	0.000990838474669788	arabidopsis_thaliana_root	root	NetCls	132
61	0.408026755852843	299	0.000642146001894169	arabidopsis_thaliana_root	root	NetCls	132
62	0.836120401337793	299	0.0061771497258011	arabidopsis_thaliana_root	root	NetCls	132
63	0.588628762541806	299	0.00165576368737631	arabidopsis_thaliana_root	root	NetCls	132
64	0.408026755852843	299	0.000618325598406491	arabidopsis_thaliana_root	root	NetCls	132
65	0.0100334448160535	299	1.12201567429571e-05	arabidopsis_thaliana_root	root	NetCls	132
66	0.210702341137124	299	0.000677188285133801	arabidopsis_thaliana_root	root	NetCls	132
67	0.488294314381271	299	0.0011997843224713	arabidopsis_thaliana_root	root	NetCls	132
69	0.040133779264214	299	4.04262007547389e-05	arabidopsis_thaliana_root	root	NetCls	132
7	0.732441471571906	299	0.0062615555696902	arabidopsis_thaliana_root	root	NetCls	132
70	0.214046822742475	299	0.000362637713342871	arabidopsis_thaliana_root	root	NetCls	132
71	0.0836120401337793	299	8.65802169987021e-05	arabidopsis_thaliana_root	root	NetCls	132
72	0.0535117056856187	299	4.9791996481762e-05	arabidopsis_thaliana_root	root	NetCls	132
73	0.735785953177257	299	0.0016233734925294	arabidopsis_thaliana_root	root	NetCls	132
74	0.0702341137123746	299	8.59048438147504e-05	arabidopsis_thaliana_root	root	NetCls	132
75	0.665551839464883	299	0.00215832900706327	arabidopsis_thaliana_root	root	NetCls	132
76	0.0869565217391304	299	0.000122821416495997	arabidopsis_thaliana_root	root	NetCls	132
77	0.0802675585284281	299	5.44445293652181e-05	arabidopsis_thaliana_root	root	NetCls	132
78	0.224080267558528	299	0.000334762157480332	arabidopsis_thaliana_root	root	NetCls	132
79	0.0267558528428094	299	2.25592586240023e-05	arabidopsis_thaliana_root	root	NetCls	132
8	0.0869565217391304	299	0.000127999152688915	arabidopsis_thaliana_root	root	NetCls	132
80	0.00668896321070234	299	3.6670360371616e-05	arabidopsis_thaliana_root	root	NetCls	132
81	0.0334448160535117	299	2.4683812258274e-05	arabidopsis_thaliana_root	root	NetCls	132
82	0.494983277591973	299	0.00334461862281965	arabidopsis_thaliana_root	root	NetCls	132
83	0.190635451505017	299	0.000368197559886498	arabidopsis_thaliana_root	root	NetCls	132
84	0.120401337792642	299	0.000172851223852756	arabidopsis_thaliana_root	root	NetCls	132
85	0.237458193979933	299	0.000262581880910019	arabidopsis_thaliana_root	root	NetCls	132
86	0.0434782608695652	299	4.80829855166854e-05	arabidopsis_thaliana_root	root	NetCls	132
87	0.0367892976588629	299	2.92835872449556e-05	arabidopsis_thaliana_root	root	NetCls	132
88	0.0468227424749164	299	3.61153754478713e-05	arabidopsis_thaliana_root	root	NetCls	132
89	0.0100334448160535	299	2.3369773135471e-05	arabidopsis_thaliana_root	root	NetCls	132
9	0.976588628762542	299	0.0165247704837308	arabidopsis_thaliana_root	root	NetCls	132
90	0.096989966555184	299	9.93744768389148e-05	arabidopsis_thaliana_root	root	NetCls	132
91	0.133779264214047	299	0.000175495112025181	arabidopsis_thaliana_root	root	NetCls	132
92	0.00668896321070234	299	2.25689877160482e-05	arabidopsis_thaliana_root	root	NetCls	132
93	0.00668896321070234	299	4.5241596859153e-06	arabidopsis_thaliana_root	root	NetCls	132
94	0.0334448160535117	299	3.27382330064269e-05	arabidopsis_thaliana_root	root	NetCls	132
95	0.163879598662207	299	0.00018421475677605	arabidopsis_thaliana_root	root	NetCls	132
96	0.384615384615385	299	0.0013788729653737	arabidopsis_thaliana_root	root	NetCls	132
97	0.0802675585284281	299	0.000151901978378835	arabidopsis_thaliana_root	root	NetCls	132
98	0.00334448160535117	299	4.48321931012221e-06	arabidopsis_thaliana_root	root	NetCls	132
99	0.0100334448160535	299	6.84210891788101e-06	arabidopsis_thaliana_root	root	NetCls	132
1	0.992481203007519	133	0.0568154003399307	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
10	1	133	0.0160627236006676	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
100	0.075187969924812	133	7.23166524682809e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
101	0.954887218045113	133	0.00464942947430522	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
102	0.0977443609022556	133	0.000231627838132821	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
103	0.0451127819548872	133	4.61772453506781e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
104	0.300751879699248	133	0.000306073696271886	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
105	0.180451127819549	133	0.000200357497021419	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
106	0.0300751879699248	133	2.05463766384941e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
107	0.150375939849624	133	0.000186408481256827	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
108	0.157894736842105	133	0.000175041698566237	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
109	0.0150375939849624	133	2.041865102697e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
11	0.969924812030075	133	0.0166498353655868	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
110	0.451127819548872	133	0.000824012078220389	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
111	0.0225563909774436	133	1.55068570167756e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
112	0.112781954887218	133	0.000103986118620924	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
113	0.300751879699248	133	0.000335900330284649	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
114	0.112781954887218	133	0.000165572562092703	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
115	0.360902255639098	133	0.000496295171151299	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
116	0.195488721804511	133	0.000242715671445054	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
117	0.496240601503759	133	0.00098433979086482	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
118	0.157894736842105	133	0.00014382663789775	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
119	0.285714285714286	133	0.000329228895922972	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
12	0.969924812030075	133	0.0048437287609058	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
120	0.0526315789473684	133	4.11701424984454e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
121	0.699248120300752	133	0.00363547447850887	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
122	0.105263157894737	133	0.000156142798315592	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
123	0.203007518796992	133	0.000190652180823571	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
124	0.172932330827068	133	0.00025988601555461	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
125	0.240601503759398	133	0.000207145478146756	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
126	0.037593984962406	133	2.62234615324406e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
127	0.195488721804511	133	0.000205927463674864	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
128	0.270676691729323	133	0.000282913964155166	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
129	0.0827067669172932	133	8.27797368576315e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
13	0.654135338345865	133	0.0048766920513527	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
130	0.278195488721804	133	0.000262341787555775	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
131	0.12781954887218	133	0.000189414129245939	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
132	0.0902255639097744	133	7.77878414050562e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
133	0.390977443609023	133	0.000458658458027911	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
134	0.0075187969924812	133	3.10694090598397e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
14	0.93984962406015	133	0.0268483096510709	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
15	0.932330827067669	133	0.014775156364794	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
16	1	133	0.00855650187502168	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
17	0.759398496240602	133	0.00517704681160047	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
18	0.774436090225564	133	0.00863465963763863	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
19	0.81203007518797	133	0.0101874372003653	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
2	1	133	0.0146022821360099	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
20	1	133	0.0465715529694966	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
21	0.984962406015038	133	0.0167627720712767	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
22	0.917293233082707	133	0.0165978715035109	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
23	0.984962406015038	133	0.0100008952784412	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
24	0.992481203007519	133	0.023033358146181	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
25	1	133	0.0270600861607252	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
26	0.992481203007519	133	0.014531939693549	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
27	0.0225563909774436	133	2.09816137248566e-05	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
28	0.503759398496241	133	0.00300490269181022	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
29	0.969924812030075	133	0.02609748795208	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
3	0.954887218045113	133	0.020586566562449	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
30	0.954887218045113	133	0.00720003595263074	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
31	0.578947368421053	133	0.00255404833658598	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
32	0.180451127819549	133	0.000226604579358644	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
33	0.466165413533835	133	0.00133503638045237	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
34	0.112781954887218	133	0.000489737014461582	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
35	0.894736842105263	133	0.00734572331053719	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
36	1	133	0.0144344923996124	arabidopsis_thaliana_rhizosphere	rhizosphere	NetCls	130
